                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.46737,                0.39456,                 0.8294,                0.91281,                0.96331,                0.96275,                0.82671,                0.53412,                0.45035,                0.79765,              0.0012544,              0.0012544,              0.0012544
                    127,                 0.4577,                0.37982,                0.80454,                0.95211,                0.92984,                0.96294,                0.81922,                0.55182,                0.45902,                0.79859,              0.0012511,              0.0012511,              0.0012511
                    128,                0.45827,                 0.3673,                0.79644,                0.96054,                0.93333,                0.96099,                0.84175,                 0.5328,                0.45087,                0.79337,              0.0012478,              0.0012478,              0.0012478
                    129,                0.45201,                0.36047,                 0.7912,                0.96194,                0.93333,                0.95793,                0.82199,                0.58848,                0.46737,                0.80029,              0.0012445,              0.0012445,              0.0012445
                    130,                0.49081,                0.37757,                0.81155,                0.96475,                0.93333,                0.95157,                0.82417,                 0.4937,                0.45148,                0.79657,              0.0012412,              0.0012412,              0.0012412
                    131,                0.47047,                0.38241,                0.79159,                0.96116,                0.93333,                0.94836,                0.83131,                0.48498,                0.48099,                0.79436,              0.0012379,              0.0012379,              0.0012379
                    132,                0.47913,                0.37352,                 0.7951,                0.94943,                0.93057,                 0.9517,                0.78325,                0.57305,                0.50896,                0.80284,              0.0012346,              0.0012346,              0.0012346
                    133,                0.49811,                0.35921,                0.77975,                0.94937,                0.93128,                0.95809,                0.77865,                0.58828,                0.49655,                0.80402,              0.0012313,              0.0012313,              0.0012313
                    134,                0.47225,                0.36796,                0.81246,                0.94226,                 0.9303,                0.95923,                0.82223,                0.54375,                0.47767,                0.79807,               0.001228,               0.001228,               0.001228
                    135,                0.48405,                0.38258,                0.82427,                0.95451,                0.93019,                0.96281,                0.82662,                0.55099,                 0.4856,                0.79787,              0.0012247,              0.0012247,              0.0012247
                    136,                0.47266,                0.37079,                0.81094,                0.96268,                0.93333,                0.96116,                0.82233,                0.56068,                0.46965,                0.80285,              0.0012214,              0.0012214,              0.0012214
                    137,                0.44519,                0.35083,                0.80535,                  0.963,                0.93333,                0.96404,                0.81903,                0.54298,                0.46298,                 0.7996,              0.0012181,              0.0012181,              0.0012181
                    138,                0.49424,                0.35685,                0.80709,                0.95952,                0.93333,                0.96395,                0.82474,                0.52755,                0.43721,                0.79719,              0.0012148,              0.0012148,              0.0012148
                    139,                0.43482,                0.35198,                 0.8055,                0.94285,                0.96345,                0.96656,                0.81532,                0.53704,                   0.44,                0.79929,              0.0012115,              0.0012115,              0.0012115
                    140,                  0.425,                0.34857,                0.78436,                0.94521,                0.96412,                0.95628,                0.81447,                0.51973,                0.42759,                0.79483,              0.0012082,              0.0012082,              0.0012082
                    141,                0.42489,                0.35453,                0.80637,                0.94534,                0.96433,                0.96117,                0.83008,                0.49991,                0.44225,                 0.7948,              0.0012049,              0.0012049,              0.0012049
                    142,                0.44371,                0.34339,                0.80666,                0.94471,                0.96417,                  0.963,                0.84883,                0.48885,                0.45032,                 0.7942,              0.0012016,              0.0012016,              0.0012016
                    143,                0.43415,                0.34641,                0.80671,                0.96606,                0.94391,                  0.963,                0.86069,                0.49841,                0.46029,                0.79506,              0.0011983,              0.0011983,              0.0011983
                    144,                0.43828,                0.35795,                 0.8107,                0.94441,                0.96332,                0.95982,                 0.8413,                0.49404,                0.45332,                0.79319,               0.001195,               0.001195,               0.001195
                    145,                0.44605,                0.34769,                0.80258,                0.94425,                0.96387,                0.95919,                0.84905,                0.49437,                0.45124,                 0.7902,              0.0011917,              0.0011917,              0.0011917
                    146,                0.45745,                0.35856,                0.80033,                0.95941,                0.93333,                0.95425,                0.84334,                0.49233,                0.48353,                0.79084,              0.0011884,              0.0011884,              0.0011884
                    147,                 0.4708,                0.36369,                0.79359,                0.96264,                0.93333,                0.94993,                0.81519,                0.50999,                0.49833,                 0.7918,              0.0011851,              0.0011851,              0.0011851
                    148,                0.44738,                0.34701,                0.78822,                0.94337,                0.95835,                0.94891,                0.78021,                 0.5662,                0.51768,                0.79929,              0.0011818,              0.0011818,              0.0011818
                    149,                0.44049,                0.35792,                0.79651,                0.96238,                0.93333,                0.95056,                0.77767,                0.58378,                0.49071,                0.80306,              0.0011785,              0.0011785,              0.0011785
                    150,                0.43488,                0.35384,                0.80603,                0.96128,                0.93333,                0.94431,                0.84146,                0.46476,                 0.4526,                0.79156,              0.0011752,              0.0011752,              0.0011752
                    151,                0.43739,                0.34364,                0.80258,                0.95973,                0.93333,                0.94719,                0.84369,                0.47583,                0.44554,                0.79249,              0.0011719,              0.0011719,              0.0011719
                    152,                0.43023,                0.34193,                0.81138,                0.95536,                0.93333,                0.94951,                0.82725,                0.53506,                0.49022,                0.79913,              0.0011686,              0.0011686,              0.0011686
                    153,                0.42286,                0.33935,                0.79765,                0.95279,                0.93333,                0.94739,                 0.8102,                0.58781,                0.48673,                0.80314,              0.0011653,              0.0011653,              0.0011653
                    154,                0.43012,                0.35529,                0.79681,                0.94777,                0.93333,                0.94589,                 0.8455,                 0.4915,                0.50742,                0.79731,               0.001162,               0.001162,               0.001162
                    155,                0.44973,                0.34872,                0.79037,                0.94471,                0.93333,                0.94194,                0.84365,                0.48263,                0.51613,                0.79768,              0.0011587,              0.0011587,              0.0011587
